2018-04-26 15:28:35,242 [main] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2018-04-26 15:28:35,261 [main] INFO  o.e.m.i.discovery.MavenDiscovery - No lifecyle mapping found at jar:file:/C:/Users/HIGORP~1/AppData/Local/Temp/RemoteBundleDiscoveryStrategy6566055380990237657.tmp/org.eclipse.m2e.discovery.oss_catalog_1.5.jar_438869590119730010.jar!/lifecycle%2Forg.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive.xml
2018-04-26 15:28:35,264 [main] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive does not contain lifecycle mapping metadata
2018-04-26 15:28:35,280 [main] INFO  o.e.m.i.discovery.MavenDiscovery - No lifecyle mapping found at jar:file:/C:/Users/HIGORP~1/AppData/Local/Temp/RemoteBundleDiscoveryStrategy6566055380990237657.tmp/org.eclipse.m2e.discovery.oss_catalog_1.5.jar_438869590119730010.jar!/lifecycle%2Forg.eclipse.m2e.discovery.lifecyclemapping.m2e-subclipse.xml
2018-04-26 15:28:35,282 [main] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subclipse does not contain lifecycle mapping metadata
2018-04-26 15:58:24,709 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 15:58:24,770 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 15:58:24,772 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 15:58:24,782 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 15:58:41,086 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 15:58:41,096 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 15:58:41,119 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 15:58:41,127 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 15:58:52,104 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 15:58:52,119 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 15:58:52,133 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 15:58:52,149 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 16:00:13,151 [Worker-25] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
